parcela_id,municipio,campania,superficie_ha,cultivo,regimen,textura_suelo,materia_organica_pct,ph,lluvia_mm,dosis_n_kg_ha,semana_siembra,tratamiento_fitosanitario,incidencia_plaga,rendimiento_kg_ha,contacto_socio
PAR-001,Luna,2025,5.7,trigo,regadío,franca,1.51,8.5,397,88,45,no,no,5715,socio08@example.org
PAR-002,Tauste,2025,13.2,trigo,secano,franca,1.52,8.3,262,129,48,no,no,2375,socio18@example.org
PAR-003,Ejea de los Caballeros,2025,12.3,trigo,regadío,arenosa,1.81,8.6,301,136,47,no,no,5914,socio55@example.org
PAR-004,Tauste,2025,6.8,cebada,secano,arcillosa,1.63,8.3,314,116,46,no,no,2724,socio39@example.org
PAR-005,Ejea de los Caballeros,2025,14.4,girasol,regadío,arcillosa,2.24,8.3,255,73,12,sí,sí,2875,socio46@example.org
PAR-006,Luna,2025,13.4,maíz,regadío,franca,1.3,7.4,447,218,15,sí,sí,10252,socio36@example.org
PAR-007,Sádaba,2025,2.4,maíz,regadío,arenosa,1.46,8.1,468,192,16,sí,sí,11401,socio11@example.org
PAR-008,Tauste,2025,13.3,cebada,secano,arcillosa,0.84,8.6,317,117,46,no,no,2466,socio53@example.org
PAR-009,Biota,2025,9.7,cebada,regadío,arenosa,1.3,8.2,377,104,43,sí,sí,4236,socio56@example.org
PAR-010,Tauste,2025,8.2,trigo,regadío,arenosa,1.92,7.5,387,137,47,no,no,5816,socio13@example.org
PAR-011,Sádaba,2025,25.5,cebada,regadío,arcillosa,1.65,7.9,367,98,43,sí,sí,4366,socio41@example.org
PAR-012,Pradilla de Ebro,2025,14.3,cebada,regadío,franca,2.01,7.7,274,62,45,no,no,6223,socio08@example.org
PAR-013,Pradilla de Ebro,2025,2.8,cebada,regadío,franca,2.64,8.6,326,94,44,no,no,7167,socio02@example.org
PAR-014,Castejón de Valdejasa,2025,8.8,girasol,regadío,franca,1.07,7.5,317,80,18,sí,sí,3245,socio28@example.org
PAR-015,Ejea de los Caballeros,2025,10.6,trigo,secano,arcillosa,2.45,8.4,336,79,46,sí,no,3381,socio10@example.org
PAR-016,Tauste,2025,4.7,trigo,secano,franca,2.14,7.8,340,77,48,no,no,3158,socio22@example.org
PAR-017,Biota,2025,13.3,cebada,regadío,arcillosa,1.85,8.1,398,47,40,sí,sí,4497,socio20@example.org
PAR-018,Ejea de los Caballeros,2025,16.3,trigo,regadío,arenosa,1.27,8.2,378,184,42,sí,sí,4914,socio40@example.org
PAR-019,Tauste,2025,21.7,cebada,secano,arcillosa,0.73,8.5,346,93,48,no,no,2769,socio14@example.org
PAR-020,Tauste,2025,9.7,girasol,secano,franca,1.5,7.9,274,58,19,sí,sí,1027,socio23@example.org
PAR-021,Sádaba,2025,8.2,cebada,secano,franca,1.38,8.1,332,144,41,no,no,3456,socio24@example.org
PAR-022,Ejea de los Caballeros,2025,16.4,trigo,regadío,franca,2.26,8.3,385,95,48,no,no,5867,socio35@example.org
PAR-023,Biota,2025,7.0,trigo,regadío,franca,2.28,7.6,484,153,45,sí,sí,7453,socio31@example.org
PAR-024,Ejea de los Caballeros,2025,10.5,cebada,regadío,franca,1.85,8.1,291,89,45,no,no,5426,socio57@example.org
PAR-025,Tauste,2025,11.2,girasol,regadío,franca,2.11,8.3,296,37,18,no,sí,2530,socio21@example.org
PAR-026,Tauste,2025,36.2,cebada,regadío,arenosa,1.13,7.7,268,114,42,no,no,5292,socio50@example.org
PAR-027,Luna,2025,3.2,trigo,secano,arcillosa,1.44,8.0,474,146,48,sí,sí,3167,socio13@example.org
PAR-028,Tauste,2025,16.8,girasol,regadío,arcillosa,0.8,8.1,372,60,14,sí,sí,2300,socio14@example.org
PAR-029,Sádaba,2025,19.0,cebada,secano,arcillosa,0.6,7.5,379,108,48,sí,sí,2450,socio21@example.org
PAR-030,Tauste,2025,13.7,maíz,regadío,arcillosa,0.68,8.4,310,202,17,sí,sí,8096,socio35@example.org
PAR-031,Ejea de los Caballeros,2025,6.7,trigo,regadío,franca,2.06,8.3,349,124,48,no,no,7349,socio51@example.org
PAR-032,Castejón de Valdejasa,2025,10.7,cebada,secano,arcillosa,1.57,7.9,335,99,45,no,no,3181,socio55@example.org
PAR-033,Tauste,2025,6.9,girasol,regadío,arenosa,0.88,7.6,319,24,14,sí,sí,1853,socio40@example.org
PAR-034,Sádaba,2025,2.1,trigo,secano,arenosa,2.15,8.0,396,87,46,no,no,3142,socio34@example.org
PAR-035,Ejea de los Caballeros,2025,6.8,girasol,secano,arenosa,2.06,8.0,348,42,14,no,no,1339,socio54@example.org
PAR-036,Erla,2025,40.7,maíz,regadío,arcillosa,1.38,8.0,393,215,17,sí,sí,10099,socio11@example.org
PAR-037,Luna,2025,11.1,trigo,secano,arenosa,1.45,7.8,444,100,46,no,no,3418,socio28@example.org
PAR-038,Castejón de Valdejasa,2025,9.3,girasol,regadío,franca,0.97,7.7,382,101,10,sí,sí,2461,socio39@example.org
PAR-039,Pradilla de Ebro,2025,4.4,cebada,regadío,arcillosa,1.45,8.0,280,99,44,no,no,5996,socio04@example.org
PAR-040,Erla,2025,17.8,trigo,secano,franca,0.7,8.2,409,168,47,sí,sí,2824,socio35@example.org
PAR-041,Erla,2025,20.1,cebada,regadío,franca,1.89,7.7,337,103,46,sí,no,7554,socio50@example.org
PAR-042,Ejea de los Caballeros,2025,24.0,trigo,regadío,franca,1.43,8.0,395,116,50,sí,sí,5485,socio57@example.org
PAR-043,Ejea de los Caballeros,2025,8.6,cebada,secano,arcillosa,1.29,8.3,292,120,48,sí,sí,2599,socio54@example.org
PAR-044,Ejea de los Caballeros,2025,47.6,girasol,regadío,arenosa,1.4,8.5,294,30,13,sí,sí,1933,socio20@example.org
PAR-045,Tauste,2025,14.6,trigo,regadío,arcillosa,1.29,8.4,248,110,43,no,no,5917,socio58@example.org
PAR-046,Sádaba,2025,15.8,cebada,regadío,franca,0.96,9.0,456,118,47,sí,sí,4618,socio59@example.org
PAR-047,Ejea de los Caballeros,2025,22.6,cebada,regadío,arcillosa,1.96,8.2,377,106,47,no,sí,4725,socio38@example.org
PAR-048,Ejea de los Caballeros,2025,7.7,cebada,regadío,arenosa,2.01,8.5,279,103,44,no,no,4934,socio35@example.org
PAR-049,Sádaba,2025,13.7,girasol,secano,franca,1.07,8.4,399,95,14,sí,sí,1380,socio13@example.org
PAR-050,Tauste,2025,15.3,maíz,regadío,arenosa,2.3,8.4,363,242,16,sí,sí,9801,socio50@example.org
PAR-051,Ejea de los Caballeros,2025,17.1,trigo,regadío,franca,1.89,8.1,332,122,45,no,no,6743,socio37@example.org
PAR-052,Biota,2025,9.4,trigo,regadío,franca,1.63,8.1,412,86,46,sí,sí,5480,socio26@example.org
PAR-053,Luna,2025,15.4,maíz,regadío,franca,1.96,8.0,515,221,19,sí,sí,12063,socio33@example.org
PAR-054,Biota,2025,5.6,trigo,secano,franca,2.24,7.9,428,153,46,sí,no,4623,socio47@example.org
PAR-055,Ejea de los Caballeros,2025,20.2,girasol,regadío,arcillosa,2.08,8.2,324,20,16,sí,sí,1969,socio16@example.org
PAR-056,Ejea de los Caballeros,2025,14.3,cebada,regadío,arenosa,1.58,7.6,310,108,43,no,no,6512,socio46@example.org
PAR-057,Pradilla de Ebro,2025,6.7,trigo,regadío,arcillosa,1.02,8.5,300,152,47,no,no,5777,socio50@example.org
PAR-058,Tauste,2025,14.7,cebada,regadío,arcillosa,1.83,7.9,340,160,44,sí,sí,5391,socio07@example.org
PAR-059,Tauste,2025,5.8,cebada,regadío,arcillosa,1.14,8.6,212,60,45,sí,sí,4906,socio29@example.org
PAR-060,Luna,2025,12.0,cebada,secano,franca,1.34,8.4,446,67,43,no,no,3983,socio29@example.org
PAR-061,Ejea de los Caballeros,2025,22.8,cebada,regadío,franca,0.93,8.5,339,64,42,sí,sí,4994,socio44@example.org
PAR-062,Tauste,2025,14.3,girasol,regadío,arenosa,1.37,8.4,312,72,13,sí,sí,2381,socio42@example.org
